Aadhi	आधी
Aakash	आकाश
Aap	आप
Aayasha	आयशा
Aayee	आई
Abduh	अब्दुस
Aberhart	एबरहर्ट
Abey	अबेय
Abou	अबू
Abri	अब्री
Academy	अकेडमी
Academy	एकेडमी
Accommodation	एकोमडेशन
Acorn	एकोर्न
Adams	एडम्स
Adgaon	अदगाव
Adlabs	एडलेब्स
Agro	एग्रो
Ahlaad	आह्लाद
Air	एअर
Air	एयर
Aisin	एसिन
Ajee	अजी
Ajhai	अझाई
Ajith	अजीथ
Akaram	अकरम
Akele	अकेले
Akhri	आखिरी
Akodia	अकोडिया
Akurdi	अकुर्डी
Alas	अलास
Albany	अल्बानी
Albany	एल्बनी
Alester	एलेस्टर
Alex	एलेक्स
Alipur	अलीपुर
Alkali	अल्कली
Alpesh	अल्पेश
Amanat	अमानत
American	अमेरिकन
Amodini	अमोदिनी
Andha	अंधा
Angel	एंजेल
Anna	एना
Anne	एनी
Antibody	एंटीबॉडी
Aon	एऑन
Apne	अपने
Araafat	अराफात
Aries	एरीज
Aries	एरीयस
Ark	आर्क
Arman	अरमान
Arms	आर्म्स
Arnott	आरनॉट
Arsikere	अरसिकेरी
Art	आर्ट
Arthurton	अर्थर्टन
Ashoka	अशोक
Ashram	आश्रम
Asperen	एस्पेरेन
Astle	एस्टले
Athey	एथे
Ati	अति
Auckland	ऑकलैंड
Audaen	ओडेन
Auliya	औलिया
Austro	ऑस्ट्रो
Aveline	एवलाइन
Awards	अवार्ड
Awards	अवार्ड्स
Awra	अव्रा
Aybak	अयबक
Ayengi	आयेंगी
Baagul	बागुल
Baan	बान
Baat	बात
Bada	बडा
Bada	बाडा
Badamash	बदमाश
Bader	बॅडर
Badho	बढो
Badmashon	बदमशो
Baghdadi	बगदादी
Baharwali	बाहरवाली
Balamani	बालमणि
Baldrige	बैलरिज
Balkham	बाल्कम
Balvant	बलवंत
Bamori	बामोरी
Bandaratilleke	बन्दारातिलेके
Bandopadyay	बंदोपाध्याय
Banshlai	बंशलई
Baori	बौरी
Baraigram	बराइग्राम
Barney	बर्नी
Barsao	बरसाओ
Basere	बसेरे
Batti	बत्ती
Batu	बटु
Bayazid	बयाजिद
Bazar	बाजार
Beacon	बेकन
Been	बीन
Beethoven	बीथोवेन
Begam	बेगम
Begum	बेगम
Behram	बेहराम
Bembridge	बेम्ब्रिज
Bengal	खाडी
Bengal	बंगाल
Bengal	बेंगाल
Benito	बेनिटो
Bensonvale	बेनसोन्व्हले
Berendrecht	बेरनड्रेच्ट
Beta	बेटा
Bete	बेटे
Bey	बे
Bha	बहा
Bhabi	भाभी
Bhakt	भक्त
Bhanjan	भंजन
Bharose	भरोसे
Bharuch	भरूच
Bharuch	भरुच
Bhatnagar	भटनागर
Bhaujai	भौजाई
Bhed	भेद
Bhool	भूल
Bhuvaneswari	भुवनेस्वरी
Bibhor	बिभोर
Bijani	बिजानी
Bikhare	बिखरे
Bikrom	बिक्रोम
Bilhar	बिलहार
Bill	बिल
Bilson	बिलसन
Biochem	बायोकेम
Biraj	बिरज
Bisalwas	बिसलवास
Blackwell	ब्लैकवेल
Blicks	ब्लिक्स
Blignaut	ब्लिगनॉट
Blind	बलाइंड
Bocher	बोचर
Body	बॉडी
Boeta	बोएटा
Boje	बोजे
Boo	बू
Book	बुक
Border	बोर्डर
Bosch	बॉस्च
Bowles	बाउल्स
Bracewell	ब्रेसवेल
Brahman	ब्राह्मण
Brahmanya	ब्राम्हण्य
Breese	ब्रीस
Breton	ब्रेटोन
Brewery	ब्रेवरी
Briant	ब्रायंट
Bromo	ब्रोमो
Brooke	ब्रुक
Brooke	ब्रूक
Bros	ब्रोस
Brothers	ब्रदर
Brothers	ब्रदर्स
Brownlow	ब्राउनलो
Brunel	ब्रुनेल
Buckland	बकलैंड
Bulfin	बुल्फिन
Bureau	ब्यूरो
Burmah	बर्मा
Bush	बुश
Buy	बाय
Byron	बायरोन
Calgary	कैलगरी
Campbell	केम्पबेल
Campbell	कैंपबेल
Campbell	कैम्पबेल
Canadas	कैनेडास
Capone	कॅपोन
Caring	केअरिंग
Carry	कॅरी
Caulfield	कॉलफील्ड
Chadar	चादर
Chakaradhari	चक्रधारी
Champlain	कैम्प्लेन
Changez	चंगेज
Chankanab	चंकनाब
Chapel	चेपल
Charith	चैरिथ
Chartres	कार्टेस
Chartreuse	चार्ट्यूस
Chassis	चेसिस
Chatfield	चैटफील्ड
Chatterjee	चैटर्जी
Chatterji	चटर्जी
Chaudury	चौधरी
Chaylse	चेल्सी
Cheer	चीयर
Chemical	केमिकल
Chemical	केमिकल्स
Chennakesava	चेन्नकेसवा
Chhoo	छू
Chilbila	चिल्बिला
Chipewyan	चिपवेन
Chirstian	क्रिश्चियन
Choice	चोइस
Cholvaram	चोल्वाराम
Choron	चोरो
Chorvad	चोरवड
Chronicle	क्रॉनिकल
Churchill	चर्चिल
Chyulu	च्यूलु
Cidades	सिडाडेस
Cimatario	सिमातारियो
Citadel	सिटाडेल
Coat	कोट
Coca	कोका
Coffee	कॉफी
Cola	कोला
Colour	कलर
Commandante	कमांडेंट
Computers	कंप्यूटर्स
Condecoracion	कॉन्डेकोरिसियन
Condoleeza	कॉन्डोलीज़ा
Consolidated	कंसोलिडेटेड
Coolagh	कुलॅग
Copco	कोप्को
Corazon	कोराजोन
Cosier	कॉसियर
Count	काउंट
Cref	क्रेफ
Cronje	क्रोंज
Crookhorn	क्रुखोर्न
Crossing	क्रॉसिंग
Crown	क्राउन
Culture	कल्चर
Curtly	कर्टली
Cyber	सायबर
Daal	डाल
Daal	दाल
Dabhoi	दभोई
Dabli	दबली
Daegu	डेगु
Daghfal	दगफल
Dahade	दहाडे
Dahesh	दाहेश
Dai	दाई
Dalrymple	डेलरिम्पल
Damdama	दमदमा
Dannie	डैनी
Dapeng	डापेन्ग
Daryl	डेरिल
Daur	दौर
David	डेविड
Davies	डेवीस
Day	डे
Dead	डेड
Decembre	डिसेम्ब्रे
Deewane	दीवाने
Deirdre	डियड्री
Deke	देके
Dekh	देख
Dena	देना
Denzel	डेंजल
Depot	डिपो
Deryck	डेरिक
Des	डेस
Des	देस
Desoto	डेसॉटो
Devdas	देवदास
Dhahir	धहिर
Dhalaibil	धलायबिल
Dhari	धारी
Dhobari	धोबडी
Diamond	डायमंड
Dibosh	दिबोश
Dickman	डिकमेन
Dike	डाइक
Dilhara	दिलहरा
Dilhara	दिलहारा
Dilwale	दिलवाले
Dina	दीना
Dior	डिऑर
