Aadhi	ಆದಿ
Aakash	ಆಕಾಶ್
Aap	ಆಪ್
Aayasha	ಆಯಶಾ
Aayee	ಆಯಾ
Abduh	ಅಬ್ದು
Aberhart	ಅಬರಾರ್ಟ್
Abey	ಅಬೆಯ್
Abou	ಅಬು
Abri	ಅಬ್ರಿ
Academy	ಅಕಾಡೆಮಿ
Accommodation	ಅಕಾಮಡೇಶನ್
Acorn	ಅಕಾರ್ನ್
Adams	ಆಡಂಸ್
Adgaon	ಅದಗಾಂವ್
Adlabs	ಆಡ್ಲ್ಯಾಬ್
Agro	ಆಗ್ರೋ
Ahlaad	ಆಹ್ಲಾದ್
Air	ಅಲ್ರ್
Aisin	ಐಸಿನ್
Ajee	ಅಜೀ
Ajhai	ಅಜಹಾಯ್
Ajith	ಅಜಿತ್
Akaram	ಅಕರಮ್
Akele	ಅಕೇಲೆ
Akhri	ಆಖರೀ
Akodia	ಅಕೋಡಿಯಾ
Akurdi	ಅಕುರ್ದಿ
Alas	ಅಲಾಸ್
Albany	ಅಲ್ಬಾನಿ
Alester	ಆಲಿಸ್ಟರ್
Alex	ಅಲೆಕ್ಸ್
Alipur	ಅಲಿಪುರ್
Alkali	ಅಲ್ಕಾಲಿ
Alpesh	ಅಲ್ಪೇಶ್
Amanat	ಅಮಾನತ್
American	ಅಮೆರಿಕ
Amodini	ಅಮೋದಿನಿ
Andha	ಅಂಧಾ
Angel	ಏಂಜೆಲ್
Anna	ಅನ್ನಾ
Anne	ಆನ್
Antibody	ಆಂಟಿಬಾಡಿ
Aon	ಎವೋನ್
Apne	ಅಪ್ನೆ
Araafat	ಅರಾಫತ್
Aries	ಏರಿಸ್
Ark	ಆರ್ಕ್
Arman	ಅರ್ಮಾನ್
Arms	ಆರ್ಮ್ಸ್
Arnott	ಅರ್ನಾಟ್
Arsikere	ಅರಸೀಕೆರೆ
Art	ಆರ್ಟ್
Arthurton	ಆರ್ಥರ್ಟನ್
Ashoka	ಅಶೋಕ
Ashram	ಆಶ್ರಮ್
Asperen	ಆಸ್ಪರೆನ್
Astle	ಆಸ್ಲೆ
Athey	ಅಥೆ
Ati	ಅತಿ
Auckland	ಆಕ್ಲೆಂಡ್
Audaen	ಔದೀನ್
Auliya	ಔಲಿಯಾ
Austro	ಆಸ್ಟ್ರೊ
Aveline	ಅವೆಲಿನ್
Awards	ಅವಾರ್ಡ್ಸ್
Awra	ಆರಾ
Aybak	ಅಯ್ಬಕ್
Ayengi	ಆಯೆಂಗಿ
Baagul	ಬಾಗುಲ್
Baan	ಬಾನ್
Baat	ಬಾತ್
Bada	ಬಡಾ
Bada	ಬಾಡಾ
Badamash	ಬದಮಾಶ್
Bader	ಬೇಡರ್
Badho	ಬಢೋ
Badmashon	ಬದಮಾಶೋಂ
Baghdadi	ಬಗದಾದಿ
Baharwali	ಬಾಹರ್ವಾಲೀ
Balamani	ಬಾಲಮಣಿ
Baldrige	ಬಾಲ್ಡ್ರಿಜ್
Balkham	ಬಲ್ಕ್ಹಾಮ್
Balvant	ಬಲ್ವಂತ್
Bamori	ಬಮೋರಿ
Bandaratilleke	ಬಂಡಾರತಿಲಕೆ
Bandopadyay	ಬಂದೋಪಾಧ್ಯಾಯ್
Banshlai	ಬನ್ಶ್ಲೈ
Baori	ಬಾವುರಿ
Baraigram	ಬಾರೈಗ್ರಾಮ್
Barney	ಬಾರ್ನೀ
Barsao	ಬರಸಾವೋ
Basere	ಬಸೇರೆ
Batti	ಬತ್ತಿ
Batu	ಬಾಟು
Bayazid	ಬಯಾಜಿದ್
Bazar	ಬಾಜಾರ್
Beacon	ಬೇಕನ್
Been	ಬೀನ್
Beethoven	ಬೀದೋವನ್
Begam	ಬೇಗಮ್
Begum	ಬೇಗಮ್
Behram	ಬೆಹರಾಮ್
Bembridge	ಬೆಮ್ಬ್ರಿಡ್ಜ್
Bengal	ಬಂಗಾಲ
Benito	ಬೆನಿಟೋ
Bensonvale	ಬೆನ್ಸೋನ್ವಾಲೆ
Berendrecht	ಬೆರೆನ್ಟ್ರಿಚ್
Beta	ಬೇಟಾ
Bete	ಬೇಟೆ
Bey	ಬೇ
Bha	ಭಾ
Bhabi	ಭಾಭೀ
Bhakt	ಭಕ್ತ್
Bhanjan	ಭಂಜನ್
Bharose	ಭರೋಸೆ
Bharuch	ಭರೂಚ್
Bhatnagar	ಭಟ್ನಾಗರ್
Bhaujai	ಭೌಜಾಯಿ
Bhed	ಭೇದ್
Bhool	ಭೂಲ್
Bhuvaneswari	ಭುವನೇಶ್ವರಿ
Bibhor	ಬಿಭೋರ್
Bijani	ಬಿಜಾನೀ
Bikhare	ಬಿಖರೆ
Bikrom	ಬಿಕ್ರಮ್
Bilhar	ಬಿಲಹರ್
Bill	ಬಿಲ್
Bilson	ಬಿಲ್ಸನ್
Biochem	ಬಯೊಕೆಮ್
Biraj	ಬಿರಜ್
Bisalwas	ಬಿಸಲ್ವಾಸ್
Blackwell	ಬ್ಲಾಕ್ವೆಲ್
Blicks	ಬ್ಲಿಕ್ಸ್
Blignaut	ಬ್ಲಿಗ್ನಾಟ್
Blind	ಬ್ಲೈಂಡ್
Bocher	ಬೂಚರ್
Body	ಬಾಡಿ
Boeta	ಬೊಯೆಟಾ
Boje	ಬೋಯೆ
Boo	ಬೂ
Book	ಬುಕ್
Border	ಬಾರ್ಡರ್
Bosch	ಬೋಶ್
Bowles	ಬೌಲ್ಸ್
Bracewell	ಬ್ರೇಸ್ವೆಲ್
Brahman	ಬ್ರಹಾಮನ್
Brahmanya	ಬ್ರಹ್ಮಣ್ಯ
Breese	ಬ್ರೀಸ್
Breton	ಬ್ರೆಟೊನ್
Brewery	ಬ್ರೀವರಿ
Briant	ಬ್ರಯಾಂಟ್
Bromo	ಬ್ರೋಮೊ
Brooke	ಬ್ರೂಕ್
Bros	ಬ್ರದರ್ಸ್
Brothers	ಬ್ರದರ್ಸ್
Brownlow	ಬ್ರೌನ್ಲೊ
Brunel	ಬ್ರುನೆಲ್
Buckland	ಬಕ್ಲ್ಯಾಂಡ್
Bulfin	ಬಲ್ಫಿನ್
Bureau	ಬ್ಯೂರೊ
Burmah	ಬರ್ಮಾ
Bush	ಬುಷ್
Buy	ಬೈ
Byron	ಬೈರಾನ್
Calgary	ಕಲ್ಗಾರೆ
Campbell	ಕ್ಯಾಂಪಬೆಲ್
Canadas	ಕೆನಡಾಸ್
Capone	ಕೆಪೋನ್
Caring	ಕೇರಿಂಗ್
Carry	ಕ್ಯಾರಿ
Caulfield	ಕಾಲ್ಫೀಲ್ಡ್
Chadar	ಚಾದರ್
Chakaradhari	ಚಕ್ರಧಾರೀ
Champlain	ಚಾಂಪ್ಲೆನ್
Changez	ಚಂಗೆಜ್
Chankanab	ಚಂಕಾನಾಬ್
Chapel	ಚಾಪೆಲ್
Charith	ಚರಿತ್
Chartres	ಚಾರ್ಟೆಸ್
Chartreuse	ಚರ್ಟ್ಯೂಸ್
Chassis	ಚಾಸಿಸ್
Chatfield	ಚಾಟ್ಫೀಲ್ಡ್
Chatterjee	ಚಟರ್ಜಿ
Chatterji	ಚಟರ್ಜಿ
Chaudury	ಜೌಧರಿ
Chaylse	ಚೆಲ್ಸೀ
Cheer	ಚೀರ್
Chemical	ಕೆಮಿಕಲ್
Chennakesava	ಚೆನ್ನಕೇಶವ
Chhoo	ಛೂ
Chilbila	ಚಿಲ್ಬಿಲಾ
Chipewyan	ಚಿಪ್ವೆನ್
Chirstian	ಕ್ರಿಶ್ಚಿಯನ್
Choice	ಚಾಯ್ಸ್
Cholvaram	ಚೋಲಾವರಂ
Choron	ಚೋರೋಂ
Chorvad	ಚೋರ್ವದ್
Chronicle	ಕ್ರಾನಿಕಲ್
Churchill	ಚರ್ಚಿಲ್
Chyulu	ಚುಯುಲು
Cidades	ಸಿಡಾಡೆಸ್
Cimatario	ಸಿಮಾಟಾರಿಯೊ
Citadel	ಸಿಟಾಡೆಲ್
Coat	ಕೋಟ್
Coca	ಕೋಕಾ
Coffee	ಕಾಫಿ
Cola	ಕೋಲಾ
Colour	ಕಲರ್
Commandante	ಕಮಾಂಡೆಂಟ್
Computers	ಕಂಪ್ಯೂಟರ್ಸ್
Condecoracion	ಕಾಂಡೆಕೊರಾಕಿಯನ್
Condoleeza	ಕಾಂಡೋಲೀನಾ
Consolidated	ಕನ್ಸಾಲಿಡೇಟೆಡ್
Coolagh	ಕೂಲಾಗ್
Copco	ಕೋಪ್ಕೋ
Corazon	ಕೋರೆಜೋನ್
