NADHIR	நாதிர்
RAASAVIHAAREE	ராஸவிஹாரீ
DEOGAN ROAD	டியோகன் ரோட்
PARAYE BAS MEIN	பராயெ பஸ் மேன்
VERIZON COMMUNICATIONS	வெரிசான் கம்யூனிக்கேஷன்ஸ்
BIRLA TYRES	பிர்லா டயர்ஸ்
FLOYD REIFER	ஃப்ளாய்ட் ரீஃபர்
SABINE	சபைன்
PEACE LUTHERAN	பீஸ் லுதெரன்
RISHTA KAGAZ KA	ரிஷ்டா காகாஸ் கா
HUMDUM	ஹம்தம்
Lamisah	லமிஸா
AMAH	அமா
Bitragunta	பித்ரகுண்டா
EDMONTON	எட்மன்டன்
BHUTESH	பூதேஷ்
LEWIS	லிவிஸ்
LEWIS	லீவிஸ்
AARADHANA	ஆராதணா
RANJIT	ரஞ்சித்
FARIDAH	ஃபரீதா
RAHAT	ரஹத்
RAHAT	ராஹத்
WILLIAMITE WAR IN IRELAND	வில்லியமைட் வார் இன் ஐயர்லாண்ட்
LIYAAKAT	லியாகத்
CARRIER AIRCON	கேரியர் ஏர்கான்
FLORES	புளோர்ஸ்
BIHIYA	பிஹியா
SOORYAVANSH	சூர்யவன்ஷ்
RIJU	ரிஜ்ஜூ
THUML	துமல்
SANTA SUSANA	சான்டா சூசன்னா
Gambia	காம்பியா
Adheeraa	அதீரா
NYMOX PHARMACEUTICAL CORPORATION	நைமோக்ஸ் பார்மாசெட்டிக்கல் கார்ப்பரேஷன்
GROUCHO MARCS	க்ரூச்சோ மார்க்ஸ்
BRANDO	ப்ராண்டோ
CANARA BANK	கனரா பேங்க்
CSILLA	சிஸில்லா
ALLAN BORDER	ஆல்லன் பார்டர்
BRITTON	பிரிட்டன்
GARY BRENT	கேரி ப்ரெண்ட்
PROGEON	ப்ரோஜியான்
NIJJAR	நிஜ்ஜார்
PANTANAL MATOGROSSENSE	பாண்டலால் மட்டக்ரோசென்ஸ்
MERCURY	மெர்குரி
RAISA GORBACHEV	ரெய்சா கார்பச்சேவ்
AAHLAAD	ஆஹ்லாத்
GIRLS SCHOOL	கேர்ள்ஸ் ஸ்கூல்
JAB YAAD KISI KI AATI HAI	ஜப் யாத் கிசி கி ஆதி ஹை
MUSEUM OF MODERN ART	மியூஸியம் ஆஃப் மாடர்ன் ஆர்ட்
RAAJAKUNVAREE	ராஜகன்வாரீ
SAPARNA	சபர்னா
BINDIYA CHAMKEGI	பிந்தியா சம்கேகி
NAROTTAM	நரோட்டம்
GOPESH	கோபேஷ்
AMAL SILVA	அமல் சில்வா
PRAMA	ப்ரமா
CAMILLE	காமில்
PALSULE	பல்சுலே
PADMAL	பத்மல்
KHOON AUR SAZAA	கூன் அவுர் சாஸா
MELVIN	மெல்வின்
ALFRED HITCHCOCK	ஆல்ஃபிரட் ஹிச்காக
RAKHDIAN	ரக்தியன்
BARGARH ROAD	பர்கார் ரோட்
ANPADH	அன்பத்
MAIREAD	மேரியட்
STEPHANIE	ஸ்டெஃபனி
MINJONET	மின்ஜோனெட்
PIPA	பைபா
BABBOO	பாபு
AAN AUR SHAAN	ஆன் அவுர் ஷான்
MASS MUTUAL LIFE	மாஸ் ம்யூச்சுவல் லைப்
DIRAC PRIZE	டிராக் ப்ரைஸ்
CAPE COD	கேப் காட்
Nara	நாரா
MANAAKSHU	மனாக்ஷூ
ROLL	ரோல்
STABROECK	ஸ்டாப்ரோயெக்
SALGIRAH	சால்கிராஹ்
BONSO ELECTRONICS INTERNATIONAL	பான்ஸ்கோ எலக்டிரானிக்ஸ் இன்டர்நேஷனல்
DIPA	திபா
Devastator	டிவெஸ்டேடர்
Ellenabad	எல்லெனாபாத்
AVANINDAR	அவனின்தர்
KIRLOSKAR BROS	கிர்லோஸ்கர் ப்ரதர்ஸ்
ARIVUMANI	அரிவுமனி
KALA CHASHMA	கலா சாஷ்மா
LADAAKU	லாடாகு
TUNGAR	துங்கார்
ISHTIYAQ	இஷ்தியாக்
MORDHWAJ	மோர்த்வாஜ்
SUVAAS	சுவாஸ்
Petunia	பெடுனியா
JASMINDER	ஜஸ்மிந்தர்
MUNKADIR	முன்காதிர்
INGERSOLL RAND	இங்கர்சால் ரேண்ட்
VOLTAIRE	வால்டைய்ர்
WESTSIDE FREEWILL BAPTIST	வெஸ்ட்சைட் பிரீவில் பேப்டிஸ்ட்
CHANDISAR	சண்டிசார்
WILTON	வில்டன்
ABUNDANT LIFE CHRISTIAN FELLOWSHIP	அபண்டண்ட் லைப் கிறிஸ்டியன் பெல்லோஷிப்
PRAG	பிராக்
WHITEFISH	ஒயிட்ஃபிஷ்
CYNARA	சைனாரா
Cancer	கேன்சர்
SHATRU	ஷத்ரு
NARSIMHA AVTAR	நர்ஸிம்ஹா அவ்தார்
CLYDE	க்லைட்
APRADHI KAUN	அப்ராதி கோன்
LARISSA	லரிஸ்ஸா
MUNSIF DAILY	முன்சிஃப் டெய்லி
IPHIGENIA	இபிஜீனியா
PURNIA	பூர்னியா
AAKROSH	ஆக்ரோஷ்
AMRAT	அம்ராத்
GRUTAS	க்ரூடாஸ்
KSHANIKA	ஷானிகா
Kurangi	குரங்கி
AURVASHEY	ஆர்வாஷி
VAAGESHVAREE	வாகேஷ்வரீ
PARVATI	பார்வதி
KEVIN SPACEY	கெவின் ஸ்பேசி
JOEY BENJAMIN	ஜோயி பெஞ்சமின்
THE ROYAL NORWEGIAN ORDER OF MERIT	தி ராயல் நார்வேயன் ஆர்டர் ஆஃப் மெரிட்
DABOLIM	தாபோலிம்
DAVINA	டாவினா
AYATOLLAH KHOMEINI	அயாதோலா கொமெய்னி
PERIYAR	பெரியார்
BIRLA	பிர்லா
MAGDA	மேக்டா
LOKAMAAN_Y	லோகமான்ய
ARTY	ஆர்டி
COGNIZANT	கோக்னிசன்ட்
SHANKAR KHAN	ஷங்கர் கான்
JAI KAROLI MAA	ஜெய் கரோலி மா
VIJAYASHREE	விஜயஸ்ரீ
IBTISAM	இப்டிசாம்
BAANKEBIHAARI	பாங்கேபிஹாரி
CHINDWARA	சிந்வாரா
AGARKAR	அகர்கர்
PRIYAM	ப்ரியம்
VAJRAMANI	வஜ்ரமணி
MUSLIM KA LAL	முஸ்லிம் கா லால்
KANTIMOY	கான்டிமாய்
BITTI	பிட்டி
NIKITA KHRUSHCHEV	நிகிதா க்ருஷேவ்
MINATI	மினாதி
VANI	வாணி
ZINNIA	ஜின்னியா
MEXICO	மெக்சிகோ
MEXICO	மெக்ஸிகோ
Yawar	யாவர்
IGNATIUS	இக்னேஷியஸ்
Baffin	பாஃபின்
NIRDOSH	நிர்தோஷ்
GHAZI	காஸி
KAZANTZAKIS MUSEUM	கஸான்ட்ஸாகிஸ் மியூஸியம்
HANCOCK	ஹான்காக்
SABBURAH	சப்புரா
SANJAY MANJREKAR	சஞ்சய் மஞ்சிரேக்கர்
SURAJ	சுரஜ்
DIANTHA	தயந்தா
GRINHAM	கிரின்ஹாம்
TELUGU	தெலுகு
CERRO DE GARNICA	கெர்ரோ டீ கார்னிகா
CLICKSOFTWARE TECHNOLOGIES	கிளிக்சாப்ட்வேர் டெக்னாலஜீஸ்
NAPOLI	நாபோலி
Barwaha	பார்வாஹா
TORAN	தோரன்
YATISHWAR	யதிஷ்வர்
RUE	ருய்
SHODH	ஷோத்
HAMDAN	ஹம்தன்
CHALTHAN	சல்தான்
AA'IDAH	ஆ'தா
AJINKYA	ஆஜிங்கியா
GEMMA	ஜெம்மா
DREADNOUGHT	டிரெட்னாட்
PAVITRA PAPI	பவித்ரா பாபி
SANJOG	சஞ்சோக்
SANJOG	சன்ஜோக்
PRIX ARS ELECTRONICA	ப்ரிக்ஸ் அர்ஸ் எலக்ட்ரானிகா
Parikshit	பரிக்‌ஷித்
MCKILE	மெக்கிலெ
WARGITA MINA	வார்கிட்டா மினா
TAD TURNER	டாட் டர்னர்
EUGENE	இயுஜின்
MUTAZAH	முதாஸா
PRINCE ALBERT	ப்ரின்ஸ் ஆல்பர்ட்
Veena	வீணா
MITHUN	மிதிலேஷ்
MITHUN	மிதுன்
MUSEUM OF CRETAN ETHNOLOGY	மியூஸியம் ஆஃப் கிரெட்டன் எத்னாலஜி
Verna	வெர்னா
HIM	ஹிம்
SHAHI FARMAN	ஷாஹி ஃப்பர்மான்
BRAHMAVART	ப்ரம்மவார்த்
TEESTA	தீஸ்தா
AAQIB	ஆகுப்
Badnapur	பதனபூர்
REVOLT IN THE VENDEE	ரிவோல்ட் இன் த வென்டீ
ADINAATH	அதினாத்
MAUNATH BHANJAN	மவுனத் பன்ஜன்
KEELING	கீலிங்
DAPODI	தபோடி
CHASTITY	சேஸ்ட்டிட்டி
BOWDEN	பெளடென்
SEVERINO	செவெரினோ
Rahnuma	ராஹ்னுமா
LAUDERDALE	லாடெர்டேல்
SANAUBAR	சனௌபார்
GHADIR	காதிர்
SAINT JOSEPH'S BOYS' HIGH SCHOOL, BANGALORE	செயிண்ட் ஜோசப்ஸ் பாய்ஸ் ஹை ஸ்கூல், பெங்களூர்
BANCROFT PRIZE	பேங்க்ராஃப்ட் ப்ரைஸ்
BEGUINE	பெகுயின்
RAAJIT	ராஜித்
BAHADUR SINGH	பஹதூர் சிங்
NATIONAL ART GALLERY AND ALEXANDROS SOUTZOS MUSEUM	நேஷனல் ஆர்ட் கேலரி அண்ட் அலெக்ஸான்டிரோஸ் செளட்ஸாஸ் மியூஸியம்
WORKSTREAM	வர்க்ஸ்டிரீம்
BASTAMI	பஸ்தாமி
PEPPER	பெப்பர்
Richmond	ரிச்மண்ட்
MELISSA	மெல்லிசா
RALEIGH	ராலெய்க்
HERMES	ஹெர்மெஸ்
SHILPITA	ஷில்பிதா
INDUPRABHA	இந்துபிரபா
INDUPRABHA	இந்துப்பிரபா
GADDU	காட்டு
Haris	ஹாரிஸ்
ARCHIT	அர்சித்
COURTNEY BROWNE	கோர்ட்னி ப்ரவுன்
Wilhelmina	வில்ஹெல்மினா
PAHELI	பஹெலி
Margo	மார்கோ
PRATIBANDH	பிராதிபந்த்
Chaeli	சாயேலி
Balotra	பலோத்ரா
NESTOR	நெஸ்டர்
VISHALGAD	விஷல்காத்
LUMPS FORT	லம்ப்ஸ் ஃப்போர்ட்
Ashaa	அஷா
EULALIE	இயுலலி
CHANDOK	சந்தோக்
CHANDOK	சாண்டக்
NAACHE NAGIN GALI GALI	நாச்சே நாகின் காலி காலி
LAZZARO	லஸ்ஸரோ
JANAMBHUMI	ஜனம்பூமி
SEPIK FLUTES KANENGARA	செபிக் ஃப்ளூட்ஸ் கனேங்கரா
RICHA	ரிச்சா
AMAREEK	அமாரீக்
DEVI	தேவி
MARILU	மேரிலு
PARMA MISSIONARY BAPTIST	பார்மா மிஷனரி பேப்டிஸ்ட்
DO CHEHRE	தோ செஹ்ரே
Sidbi	சிட்பி
DASHARATH	தசரத்
Diablo	டையாப்லோ
Chinnamalai	சின்னமலை
LUDWIG BEETHOVEN	லுட்விக் பீத்தோவன்
KHUDRAH	குத்ரா
UNIVERSITY OF PORTSMOUTH	யூனிவர்சிட்டி ஆஃப் போர்ட்ஸ்மௌத்
LANGSTONE REDOUBT	லாங்ஸ்டோன் ரீடவுட்
IDANA	ஐடானா
PARAAS	பராஸ்
BERGER PAINTS	பெர்ஜர் பெயிண்ட்ஸ்
CAMBRIDGE SCHOOL, INDIRAPURAM	கேம்பிரிட்ஜ் ஸ்கூல், இந்திராபுரம்
MARGED	மார்கெட்
ROCKET	ராக்கெட்
CARL TUCKETT	கார்ல் டக்கெட்
CARISSA	காரிஸா
CHHOTA BAAP	சோட்டா பாப்
MUJHE INSAF CHAHIYE	முஜே இன்சாஃப் சாஹியெ
ESSAR SHIPPING	எஸ்ஸார் ஷிப்பிங்
BANK OF AMERICA PLAZA	பேங்க் ஆப் அமெரிக்க பிளாஸா
NEVSKY	நெவ்ஸ்கி
SATISH GUJRAL	சதிஷ் குஜ்ரால்
MIKE POWELL	மைக் போவெல்
MURAD	முரத்
Geodesic	ஜியோடேசிக்
Sandipika	சந்தீபிகா
BIJAINAGAR	பிஜாய்நகர்
PAUL SIMON	பால் சைமன்
MILAM BETHANY BAPTIST	மிலம் பெதனி பேப்டிஸ்ட்
AALHAD	ஆல்ஹாத்
WYATT	யாத்
WYATT	வயத்
ROCKBROOK UNITED	ராக்புரூக் யுனைட்டெட்
FOOL	ஃபூல்
SALEEM MALIK	சலீம் மாலிக்
DELHAIZE	டெல்ஹைசே
KANKUKUS	கன்குகுஸ்
WINFIELD	வின்ஃபீல்ட்
JAWAHAR	ஜவஹர்
LAURENCE OLIVIER AWARDS	லாரன்ஸ் ஆலிவர் அவார்ட்ஸ்
ASTRID LINDGREN MEMORIAL AWARD	ஆஸ்ட்ரிட் லிண்ட்க்ரென் மெமோரியல் அவார்ட்
RAISIE	ரய்ஸி
SELKIRK	செல்கிர்க்
Kanchanaa	கான்சனா
SANGHERA	சங்கேரா
BEBUS	பேபஸ்
VINOTHEN JOHN	வினோதன் ஜான்
ANAND AUR ANAND	ஆனந்த் அவுர் ஆனந்த்
ORGAN	ஆர்கன்
BAHURUP	பஹருப்
CHAGGAN	சாக்கன்
MADELEINE	மேடலீன்
BAGLAMA	பக்லாமா
CAPE FRONTIER WAR	கேப் ஃப்பிரான்டியர் வார்
LOVE MARRIAGE	லவ் மேரேஜ்
BUSHRA	புஷ்ரா
MURSHIDABAD	முர்ஷிதாபாத்
PUNITA	புனிதா
NEGI	நேகி
JAWANI KI LEHREN	ஜவானி கி லெய்ரென்
EL-MAREES	எல்-மாரீஸ்
AISHBAGH	அயிஸ்பாக்
YURUPARI	யூருபாரி
FORT WILLIAM	ஃப்போர்ட் வில்லியம்
Shoshone	ஷோஷோன்
ACHAL	அச்சல்
SAZAA	சாஸா
ABDUL WAHAB	அப்துல் வாஹப்
BABENBURG	பாபேன்பர்க்
PHAZOM	ஃபாஸூம்
KHATTA MEETHA	கத்தா மீத்தா
Agharr	அகார்
KALIYA	காளியா
VILASINI	விலாசினி
HIDA	ஹிடா
MISHIMA YUKIO PRIZE	மிஷிமா யூக்கியோ ப்ரைஸ்
Manasoob	மனாசிஜா
CHAKRADHARI	சக்ரதாரி
NIDA	நிடா
Bonaventure	போனவென்ச்சர்
Shanpaak	ஷன்பக்
MATKARI	மத்காரி
GAEKWAD	காயேக்வாத்
AAJ KA GUNDARAJ	ஆஜ் கா குண்டாராஜ்
VANADEVEE	வனதேவீ
KAINJI DAM	கைன்ஜி டேம்
HANSTE ZAKHM	ஹன்ஸ்டே ஸகம்
SITAPUR KI GEETA	சீதாபூர் கி கீதா
