Tiwana	টিওয়ানা
Baharali	বাহারালি
Iceland	আইসল্যান্ড
Color	কালার
Shivekar	শিভেকার
Elijabeth	এলিজাবেথ
Crockett	ক্রোকেট
Nalinibala	নলিনীবালা
Lasker	লাস্কার
Bandiram	বন্দিরাম
Bhuban	ভুবন
Gascogne	গ্যাসকগ্নে
Chess	চেস
Stanwyck	স্টানওয়েক
Lorence	লরেন্স
Seyyed	সৈয়দ
Salil	সলিল
Lafarge	লাফার্জ
Nabarun	নবারুন
Christie	ক্রিস্টিয়ে
Geneva	জেনেভা
Leyland	লেল্যান্ড
Tabsum	তবসুম
Samad	সামাদ
Vadi	ভাদি
Dustin	ডাস্টিন
Strauss	স্ট্রুস
Ervine	অরভিন
Attabira	আট্রাবিরা
Arusha	আরুশা
Egypt	ইজিপ্ট
Rajpati	রাজপতি
Innisfallen	ইনিসফলেন
Nursing	নার্সিং
Intrepid	ইন্ট্রিপিড
Worldwide	ওয়াল্ডওয়াইড
Ranchod	রাঞ্চোড
Luge	লুগে
Dharamsala	ধর্মশালা
Sintu	সিন্টু
Sathi	সাথী
Townsend	টাউনসেন্ড
Elmo	এলমো
Bidhuvushan	বিধুভুষন
Challenges	চেলেঞ্জেস
Sutherland	সুদারল্যান্ড
Ligurian	লিগুরিয়ান
Kohinoorbibi	কহিনুরবিবি
Irian	আইরিয়ান
Chandrika	চন্ডিকা
Chandrika	চন্দ্রিকা
Sahidan	সাহিদান
Transfiguration	ট্রান্সফিগারেশান
Barkur	বারকুর
Nahida	নাহিদা
Nurbanu	নুরবানু
Ahamudulla	আহমদুল্লা
Bidhyadhar	বিদ্য়াধর
Bijlirani	বিজলীরানী
Lemoun	লেমন
Afternoon	আফটারনুন
Mayureshwar	ময়ূরেশ্বর
Reserve	রিজার্ভ
Sairaj	সইরাজ
Maawi	মায়ী
Kurnul	কুর্নুল
Brockhurst	ব্রোকহার্টস
Telefilm	টেলিফিল্ম
Shahajadibibi	শাহাজাদীবিবি
Chikkodi	চিক্কোডি
Idjwi	ইদজুয়ি
Mahin	মহিন
Dhimaan	ধীমান
Kddi	কাদি
Kuntal	কুন্তল
Behetar	বেহেতার
Cable	কেবল
Mhjahangir	মহঃজাহাঙ্গীর
Filipet	ফিলিপেট
Cake	কেক
Fakrul	ফকরুল
Anzum	আঞ্জুম
Settsu	সেতসু
Bhabanicharan	ভবানীচরন
Aragon	অ্যারাগন
Devang	দেভাঙ্গ
Maphijan	মফিজান
Frug	ফ্রাগ
Morsalim	মোরসালিম
Chillupar	চিল্লুপর
Akbari	আকবরী
Price	প্রাইস
Asansol	আসানসোল
Jamsed	জামসেদ
Munsurakhatun	মুনসুরাখাতুন
Shahanur	শাহানুর
Albemarle	আলবিমার্লে
Pratik	প্রতীক
Altabanu	আলতাবানু
Mumbai	মুম্বাই
Vechten	ভিচটেন
Maman	মামন
Tohda	টোহদা
Priscilla	প্রিসিলা
Niwaaran	নিওয়ারন
Nurjuma	নুরজুমা
Sharat	শরত
Wachovia	ওয়াকোভিয়া
Bansal	বানসাল
Dharsiwa	ধারসিওয়া
Rathan	রথন
Nutrition	নিউট্রিশান
Sanoka	সনোকা
Tulabala	তুলাবালা
Nocil	নোসিল
Sheikendar	সেকেন্দর
Gulati	গুলাতি
Pankajini	পঙ্কজিনী
Mdsafi	মহঃসফি
Mazhar	মাঝার
Nel	নেল
Alaulhak	আলাউলহক
Hirak	হীরক
Jim	জিম
Taslimabibi	তসলিমাবিবি
Dhirendra	ধীরেন্দ্র
Ukhrul	উখরুল
Tansco	ট্যান্সকো
Colaba	কোলাবা
Arche	আর্চে
Hamidieh	হামিদিহ
Babudhan	বাবুধন
Solectron	সোলেকট্রোন
Juan	জুয়ান
Hasanali	হাসানআলী
Fender	ফেন্ডের
Bhairabi	ভৈরবী
Nabakanta	নবকান্ত
Vanoise	ভানয়েজ
Murshada	মুরশেদা
Manjali	মঞ্জলী
Subaru	সুবারু
Spiel	স্পিয়েল
Bharatidevi	ভারতীদেবী
Digital	ডিজিটাল
Red	রেড
Victor	ভিক্টর
Tarik	তারিক
Meraj	মেরাজ
Surojit	সুরোজিত
Lilabala	লীলাবালা
Blauwkapel	ব্লউইকাপেল
Marshal	মার্শাল
Laxmiram	লক্ষ্মীরাম
Suleman	সুলেমান
Bhabua	ভাবুয়া
Mahakanta	মহাকান্ত
Dwigen	দ্বীজেন
Hub	হাব
Khursid	খুরসীদ
Dhenubala	ধেনুবালা
Djembe	জেম্বে
Ede	এড
Bajlur	বজলুর
Faijuddin	ফৈজুদ্দিন
Johannesburg	জোহানের্সবার্গ
Florida	ফ্লোরিডা
Premtosh	প্রেমতোষ
Tiki	তিকি
Vir	বির
Vir	ভীর
Ramsankar	রামশংকর
Strix	স্ট্রিক্স
Levar	লেভার
Chitrakonda	চিত্রকোণ্ডা
Mahajana	মহাজন
Manobala	মনোবালা
Amla	আমলা
Sakhibala	সখীবালা
Cyprus	সাইপ্রাস
Male	মালে
