SONIKA	ಸೋನಿಕಾ
RAASAVIHAAREE	ರಾಸವಿಹಾರೀ
CHAKRI NAREUBET	ಚಕ್ರಿ ನರುಬೆಟ್
SHATRUMARDAN	ಶತ್ರುಮರ್ಧನ್
SINDOOR KA DAAN	ಸಿಂದೂರ್ ಕಾ ದಾನ್
RAFIQUL	ರಫೀಕುಲ್
EUROPIUM	ಯೂರೋಪಿಯಂ
FLOYD REIFER	ಫ್ಲಾಯ್ಡ್ ರೀಫರ್
SABINE	ಸೇಬಿನ್
BILL COSBY	ಬಿಲ್ ಕಾಸ್ಬೀ
RISHTA KAGAZ KA	ರಿಶ್ತಾ ಕಾಗಜ್ ಕಾ
Varhad	ವಾರ್ಹಾ
SHREEMAYI	ಶ್ರೀಮಯಿ
FARIHAH	ಫರಿಹಾ
MARITIME MUSEUM OF GREECE	ಮೆರಿಟೈಮ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಗ್ರೀಸ್
BHUTESH	ಭೂತೇಶ್
BANSEE	ಬನ್ಸೀ
KARSEN	ಕಾರ್ಸೆನ್
AARADHANA	ಆರಾಧನಾ
KELIMUTU	ಕೆಲಿಮುತು
MUTATKAR	ಮುತಾತ್ಕರ್
GANGA MAIYA	ಗಂಗಾ ಮೈಯಾ
AMAANDA	ಅಮಾಂಡಾ
ISLIP/MACARTHUR	ಇಸ್ಲಿಪ್/ಮೆಕಾರ್ಥರ್
WILLIAMITE WAR IN IRELAND	ವಿಲಿಯಮೈಟ್ ವಾರ್ ಇನ್ ಐರ್ಲ್ಯಾಂಡ್
GASUNIE	ಗಾಸುನೀ
DALMIA CEMENT	ಡಾಲ್ಮಿಯಾ ಸಿಮೆಂಟ್
NIGAH-E-NAFRAT	ನಿಗಾಹೇ-ಇ-ನಫರತ್
ADRIAN	ಅಡ್ರಿಯಾನ್
SAARANGEE	ಸಾರಂಗೀ
NAREN_DAR	ನರೇಂದರ್
Loretta	ಲೊರೆಟ್ಟಾ
SANTA SUSANA	ಸಂತಾ ಸುಸಾನಾ
MAHARANI PADMINI	ಮಹಾರಾಣಿ ಪದ್ಮಿನಿ
FORT WARD	ಫೋರ್ಟ್ ವಾರ್ಡ್
NAAG DEVTA	ನಾಗ್ ದೇವತಾ
CHHAPRA KACHERI	ಛಾಪ್ರಾ ಕಚೇರಿ
GHANASHYAAM	ಘನಶ್ಯಾಮ್
Aonla	ಓನ್ಲಾ
ROBINSON CHRISTIAN	ರಾಬಿನ್ಸನ್ ಕ್ರಿಶ್ಚಿಯನ್
GARY BRENT	ಗ್ಯಾರಿ ಬ್ರೆಂಟ್
DASHARH	ದಶರಾ
QURAN	ಖುರಾನ್
PANTANAL MATOGROSSENSE	ಪಂಟಾನಲ್ ಮಟಾಗ್ರೋಸ್ಸೆನ್ಸಿ
MITUMBA	ಮಿಟುಂಬಾ
SHREE RAM BHAKTA HANUMAN	ಶ್ರೀ ರಾಮ ಭಕ್ತ ಹನುಮಾನ್
ERHU	ಎರು
JANJIRA	ಜಂಜೀರಾ
FINDLAY	ಫಿಂಡ್ಲೆ
SONIPAT	ಸೋನಿಪತ್
BHALERAO	ಭಾಲೆರಾವ್
JAB YAAD KISI KI AATI HAI	ಜಬ್ ಯಾದ್ ಕಿಸೀ ಕಿ ಆತಿ ಹೈ
RAAJAKUNVAREE	ರಾಜಕುನ್ವರೀ
KANHAIYALAL	ಕನೈಯಾಲಾಲ್
SAPARNA	ಸಪರ್ಣ
HAJJAH	ಹಜಾ
BINDIYA CHAMKEGI	ಬಿಂದಿಯಾ ಚಮಕೇಗೀ
AAHLAADIT	ಆಹ್ಲಾದಿತ್
QAILAH	ಕಿಲಾ
RAAMANAARAAYAN	ರಾಮನಾರಾಯಣ
VAAGEESHAA	ವಾಗೀಶ
PADMAL	ಪದ್ಮಾಳ್
DOLLY PARTON	ಡಾಲಿ ಪಾರ್ಟನ್
BAMBAI KI BILLI	ಬಂಬಾಯ್ ಕೀ ಬಿಲ್ಲಿ
JOURNEY FELLOWSHIP	ಜರ್ನಿ ಫೆಲೋಶಿಪ್
GARY COSIER	ಗ್ಯಾರಿ ಕೋಸಿಯರ್
PRIYANKA	ಪ್ರಿಯಾಂಕಾ
AKUL	ಅಕುಲ್
DOSTI	ದೋಸ್ತೀ
BRICK	ಬ್ರಿಕ್
MINJONET	ಮಿಂಜೋನೆಟ್
JADZIA	ಜಾಡ್ಜಿಯಾ
DATHERINE	ದಾಥರೇನ್
PARKWAY APOSTOLIC	ಪಾರ್ಕ್ ವೇ ಅಪಾಸ್ಟಲಿಕ್
Raajakunvar	ರಾಜಕುನ್ವರ್
DIRAC PRIZE	ಡಿರಾಕ್ ಪ್ರೈಜ್
CAPE COD	ಕೇಪ್ ಕಾಡ್
INDORE	ಇಂದೋರ್
ANAGHAA	ಅನಘಾ
CREST ANIMATION	ಕ್ರೆಸ್ಟ್ ಅನಿಮೇಶನ್
STABROECK	ಸ್ಟಬ್‌ರೋಕ್
UNIVERSITY OF SAINT ANDREWS	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಸೈಂಟ್ ಆಂಡ್ರ್ಯೂಸ್
AVANINDAR	ಅವನಿಂದರ್
GOVERNOR GENERAL'S AWARD	ಗವರ್ನರ್ ಜನರಲ್ಸ್ ಅವಾರ್ಡ್
MANUSHRESTH	ಮನುಶ್ರೇಷ್ಠ
MONASH	ಮನೋಶ್
ARIVUMANI	ಅರಿವುಮಣಿ
Hollybourne	ಹೋಲಿಬಾರ್ನೆ
Trinetra	ತ್ರಿನೇತ್ರಾ
ISHTIYAQ	ಇಶ್ತಿಯಾಕ್
BRUCE LAIRD	ಬ್ರೂಸ್ ಲಾಯರ್ಡ್
JASMINDER	ಜಸ್ಮಿಂದರ್
MUNKADIR	ಮುಂಕಾದಿರ್
INGERSOLL RAND	ಇಂಗರ್‌ಸೋಲ್ ರಾಂಡ್
VOLTAIRE	ವೋಲ್ಟೇರ್
CHANDISAR	ಚಂದಿಸಾರ್
BECHTEL	ಬೆಕ್ ಟೆಲ್
KUMBHALGARH FORT	ಕುಂಬಲ್‌ಗಡ್ ಫೋರ್ಟ್
Rafeeqah	ರಫೀಖಾ
BOSTON JIVE	ಬೋಸ್ಟನ್ ಜಿವಿ
KELVIN	ಕೆಲ್ವಿನ್
THE OPEN-AIR WATER POWER MUSEUM OF DIMITSANA	ದ ಓಪನ್-ಏರ್ ವಾಟರ್ ಪವರ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಡಿಮಿಟ್ಸಾನಾ
AJNABI SAAYA	ಅಜನಬಿ ಸಾಯಾ
KHADIKAR	ಖಾಡಿಕರ್
JHANSIWALE	ಝಾನ್ಸಿವಾಲೆ
GURDASPUR	ಗುರುದಾಸಪುರ್
GAZI ASHRAF	ಗಾಝಿ ಅಶ್ರಫ್
JANE PAULI	ಜೇನ್ ಪೌಲಿ
KSHANIKA	ಕ್ಷಣಿಕ
NADIYA KE PAAR	ನದಿಯಾ ಕೆ ಪಾರ್
AADIKAVI	ಆದಿಕವಿ
MONICA	ಮೋನಿಕಾ
AVISHKAR SALVI	ಆವಿಶ್ಕಾರ್ ಸಾಳ್ವಿ
CROMPTON	ಕ್ರಾಂಪ್ಟನ್
Metlife	ಮೆಟ್‌ಲೈಫ್
THE ROYAL NORWEGIAN ORDER OF MERIT	ದಿ ರಾಯಲ್ ನಾರ್ವೇಜಿಯನ್ ಆರ್ಡರ್ ಆಫ್ ಮೆರಿಟ್
Saloni	ಸಲೋನಿ
ARLEN	ಅರ್ಲೆನ್
BUSHNELL'S MUSEUM	ಬುಶನೆಲ್ಸ್ ಮ್ಯೂಸಿಯಂ
COVENTRY	ಕೋವೆಂಟ್ರಿ
DAVINA	ಡವಿನಾ
AYATOLLAH KHOMEINI	ಅಯಾತುಲ್ಲಾ ಖೊಮೇನಿ
SAGAR	ಸಾಗರ್
NIRALI DUNIYA	ನಿರಾಲೀ ದುನಿಯಾ
SAEED BIN NASIR	ಸಯೀದ್ ಬಿನ್ ನಾಸಿರ್
LOKAMAAN_Y	ಲೋಕಮಾನ್ಯ
RUTLAND	ರುಟ್ಲಾಂಡ್
Anjaan	ಅಂಜಾನ್
COGNIZANT	ಕೋಗ್ನೈಸೆಂಟ್
YADAGIRIGUTTA	ಯಾದಗಿರಿಗುಟ್ಟ
MILTON	ಮಿಲ್ಟನ್
LEWIS IGNOSH	ಲಿವಿಸ್ ಇಗ್ನೋಶ್
WESTMORELAND	ವೆಸ್ಟ್‌ಮೋರ್‌ಲ್ಯಾಂಡ್
MEERUT	ಮೀರತ್
DEENABANDHU	ದೀನಬಂಧು
CLEAVON	ಕ್ಲೀವಾನ್
PYAREMOHAN	ಪ್ಯಾರೆಮೋಹನ್
EKATMA	ಏಕಾತ್ಮ
SURAT	ಸೂರತ್
DIMAPUR	ದಿಮಾಪುರ್
KANTIMOY	ಕಾಂತಿಮಯ್
CLAUDE HENDERSON	ಕ್ಲಾಡ್ ಹೆಂಡರ್ಸನ್
DARRIN MURRAY	ಡ್ಯಾರಿನ್ ಮುರೇ
Nasbandi	ನಸಬಂದೀ
PAULINA	ಪೌಲಿನಾ
RADHEY	ರಾಧೇಯ
WALKER MUSEUM	ವಾಕರ್ ಮ್ಯೂಸಿಯಂ
Glora	ಗ್ಲೋರಾ
MITCHELL	ಮಿಚೆಲ್
VIJITE^DRIY	ವಿಜಿತೇಂದ್ರಿಯಾ
IGNATIUS	ಇಗ್ನೇಷಿಯಸ್
NIRDOSH	ನಿರ್ದೋಶ್
TIM ZOEHRER	ಟಿಮ್ ಜೋಹರರ್
KAZANTZAKIS MUSEUM	ಕಝಾನ್‌ಝಾಕಿಸ್ ಮ್ಯೂಸಿಯಂ
TANER ANSARI	ತನೇರ್ ಅನ್ಸಾರಿ
FAJYAZ	ಫಾಜ್‌ಯಾಜ್
SAMTA	ಸಮತಾ
